年月日,発電量,kWh,備考
2026-02-09,150.3,,晴れ
2026-02-10,152.1,,晴れ
2026-02-11,149.8,,晴れ
2026-02-12,140.4,,薄曇り
2026-02-13,138.2,,曇り
2026-02-14,142.7,,午後から晴れ
2026-02-15,155.6,,晴れ
2026-02-16,158.9,,晴れ
2026-02-17,157.4,,晴れ
2026-02-18,160.1,,晴れ
2026-02-19,159.3,,晴れ
2026-02-20,157.8,,晴れ
2026-02-21,156.2,,晴れ
2026-02-22,143.5,,曇り
2026-02-23,141.1,,曇り
2026-02-24,162.4,,晴れ
2026-02-25,165.0,,晴れ
2026-02-26,166.8,,晴れ
2026-02-27,163.7,,晴れ
2026-02-28,161.9,,晴れ
2026-03-01,160.2,,晴れ
2026-03-02,158.6,,晴れ
2026-03-03,156.9,,晴れ
2026-03-04,155.1,,晴れ
2026-03-05,152.7,,薄曇り
2026-03-06,150.9,,薄曇り
2026-03-07,149.2,,曇り
2026-03-08,147.6,,曇り
2026-03-09,145.8,,曇り
2026-03-10,144.3,,曇り
