日付,サイト名,エネルギー(kWh),状態
2026-02-09,Site-SolarEnergy,190.4,Normal
2026-02-10,Site-SolarEnergy,193.2,Normal
2026-02-11,Site-SolarEnergy,191.7,Normal
2026-02-12,Site-SolarEnergy,184.3,Normal
2026-02-13,Site-SolarEnergy,0,Stopped
2026-02-14,Site-SolarEnergy,186.5,Normal
2026-02-15,Site-SolarEnergy,198.1,Normal
2026-02-16,Site-SolarEnergy,201.4,Normal
2026-02-17,Site-SolarEnergy,199.8,Normal
2026-02-18,Site-SolarEnergy,203.6,Normal
2026-02-19,Site-SolarEnergy,202.1,Normal
2026-02-20,Site-SolarEnergy,200.7,Normal
2026-02-21,Site-SolarEnergy,198.9,Normal
2026-02-22,Site-SolarEnergy,186.0,Normal
2026-02-23,Site-SolarEnergy,183.5,Normal
2026-02-24,Site-SolarEnergy,206.3,Normal
2026-02-25,Site-SolarEnergy,209.7,Normal
2026-02-26,Site-SolarEnergy,211.2,Normal
2026-02-27,Site-SolarEnergy,207.9,Normal
2026-02-28,Site-SolarEnergy,205.8,Normal
2026-03-01,Site-SolarEnergy,204.1,Normal
2026-03-02,Site-SolarEnergy,202.6,Normal
2026-03-03,Site-SolarEnergy,200.4,Normal
2026-03-04,Site-SolarEnergy,198.7,Normal
2026-03-05,Site-SolarEnergy,196.1,Normal
2026-03-06,Site-SolarEnergy,194.5,Normal
2026-03-07,Site-SolarEnergy,192.9,Normal
2026-03-08,Site-SolarEnergy,191.2,Normal
2026-03-09,Site-SolarEnergy,189.6,Normal
2026-03-10,Site-SolarEnergy,188.0,Normal
